request_id,group,task_type,ws_ms,llm_ms,api_ms,ranking_ms,total_ms
R001,talknshop,simple_search,45,620,980,70,1715
R002,talknshop,multi_criteria_search,60,710,1250,95,2115
R003,talknshop,cross_marketplace_compare,70,820,1780,120,2790
R007,talknshop,simple_search,42,590,930,68,1630
R008,talknshop,simple_search,48,640,1010,75,1773
R009,talknshop,multi_criteria_search,58,690,1190,90,2028
R010,talknshop,multi_criteria_search,64,735,1280,97,2176
R011,talknshop,cross_marketplace_compare,72,845,1850,125,2892
R012,talknshop,cross_marketplace_compare,68,810,1720,118,2716
R013,talknshop,single_listing,85,920,4200,140,5345
R014,talknshop,single_listing,90,980,4500,150,5720
R015,talknshop,multi_listing,110,1120,7600,210,9040
R016,talknshop,multi_listing,118,1190,8200,230,9738
R004,traditional,simple_search,0,0,2100,0,2100
R005,traditional,multi_criteria_search,0,0,3300,0,3300
R006,traditional,cross_marketplace_compare,0,0,5200,0,5200
R017,traditional,simple_search,0,0,2400,0,2400
R018,traditional,simple_search,0,0,2550,0,2550
R019,traditional,multi_criteria_search,0,0,3650,0,3650
R020,traditional,multi_criteria_search,0,0,3920,0,3920
R021,traditional,cross_marketplace_compare,0,0,5750,0,5750
R022,traditional,cross_marketplace_compare,0,0,6100,0,6100
R023,traditional,single_listing,0,0,9800,0,9800
R024,traditional,single_listing,0,0,10600,0,10600
R025,traditional,multi_listing,0,0,18600,0,18600
R026,traditional,multi_listing,0,0,21400,0,21400
