participant_id,group,task_id,task_type,start_ts,end_ts,task_time_sec,completed,purchase_made,listing_posted_count,target_marketplaces_count,clarification_rounds,conversation_turns,relevance_score_human,sus_q1,sus_q2,sus_q3,sus_q4,sus_q5,sus_q6,sus_q7,sus_q8,sus_q9,sus_q10
P001,talknshop,T001,simple_search,2026-04-09T10:00:00Z,2026-04-09T10:01:10Z,70,1,0,0,0,1,6,8.5,4,4,5,2,4,2,5,2,4,2
P002,talknshop,T002,simple_search,2026-04-09T10:05:00Z,2026-04-09T10:06:18Z,78,1,0,0,0,1,7,8.2,4,4,5,2,4,2,5,2,4,2
P003,talknshop,T003,multi_criteria_search,2026-04-09T10:10:00Z,2026-04-09T10:12:05Z,125,1,0,0,0,2,9,8.8,5,4,5,2,4,2,5,2,4,1
P004,talknshop,T004,multi_criteria_search,2026-04-09T10:15:00Z,2026-04-09T10:17:20Z,140,1,0,0,0,2,10,8.4,4,4,5,2,4,2,5,2,4,2
P005,talknshop,T005,cross_marketplace_compare,2026-04-09T10:20:00Z,2026-04-09T10:23:05Z,185,1,1,0,0,2,11,9.1,4,4,5,2,4,2,5,2,4,2
P006,talknshop,T006,cross_marketplace_compare,2026-04-09T10:25:00Z,2026-04-09T10:28:28Z,208,1,1,0,0,3,12,8.9,4,4,5,2,4,2,5,2,4,2
P007,talknshop,T007,single_listing,2026-04-09T10:30:00Z,2026-04-09T10:34:50Z,290,1,0,1,1,2,10,8.0,4,4,5,2,4,2,5,2,4,2
P008,talknshop,T008,single_listing,2026-04-09T10:35:00Z,2026-04-09T10:40:20Z,320,1,0,1,1,2,11,8.1,4,4,5,2,4,2,5,2,4,2
P009,talknshop,T009,multi_listing,2026-04-09T10:40:00Z,2026-04-09T10:49:10Z,550,1,0,3,3,3,14,8.3,5,4,5,2,4,2,5,2,4,1
P010,talknshop,T010,multi_listing,2026-04-09T10:50:00Z,2026-04-09T11:00:20Z,620,1,0,4,4,3,15,8.0,4,4,5,2,4,2,5,2,4,2
P011,traditional,T011,simple_search,2026-04-09T11:05:00Z,2026-04-09T11:07:15Z,135,1,0,0,0,0,0,7.0,3,3,4,3,3,3,4,3,3,3
P012,traditional,T012,simple_search,2026-04-09T11:10:00Z,2026-04-09T11:12:40Z,160,1,0,0,0,0,0,6.8,3,3,4,3,3,3,4,3,3,3
P013,traditional,T013,multi_criteria_search,2026-04-09T11:15:00Z,2026-04-09T11:19:25Z,265,1,0,0,0,0,0,7.1,3,3,4,3,3,3,4,3,3,3
P014,traditional,T014,multi_criteria_search,2026-04-09T11:20:00Z,2026-04-09T11:25:10Z,310,1,0,0,0,0,0,6.9,3,3,4,3,3,3,4,3,3,3
P015,traditional,T015,cross_marketplace_compare,2026-04-09T11:25:00Z,2026-04-09T11:31:40Z,400,1,1,0,0,0,0,7.2,3,3,4,3,3,3,4,3,3,3
P016,traditional,T016,cross_marketplace_compare,2026-04-09T11:32:00Z,2026-04-09T11:39:50Z,470,1,1,0,0,0,0,6.7,3,3,4,3,3,3,4,3,3,3
P017,traditional,T017,single_listing,2026-04-09T11:40:00Z,2026-04-09T11:49:00Z,540,1,0,1,1,0,0,6.6,3,3,4,3,3,3,4,3,3,3
P018,traditional,T018,single_listing,2026-04-09T11:50:00Z,2026-04-09T12:00:30Z,630,1,0,1,1,0,0,6.5,3,3,4,3,3,3,4,3,3,3
P019,traditional,T019,multi_listing,2026-04-09T12:00:00Z,2026-04-09T12:20:20Z,1220,1,0,3,3,0,0,6.8,3,3,4,3,3,3,4,3,3,3
P020,traditional,T020,multi_listing,2026-04-09T12:22:00Z,2026-04-09T12:45:10Z,1390,1,0,4,4,0,0,6.4,3,3,4,3,3,3,4,3,3,3
