task_id,group,product_category,item_id,returned_rank,is_relevant,marketplace,price,shipping_cost,eta_days,condition_score,seller_rating_norm
T001,talknshop,electronics,I001,1,1,amazon,699.99,0,2,0.95,0.98
T001,talknshop,electronics,I002,2,1,ebay,679.99,15,6,0.88,0.94
T001,talknshop,electronics,I003,3,0,walmart,749.99,0,3,0.90,0.92
T001,talknshop,electronics,I004,4,1,bestbuy,709.99,0,2,0.96,0.97
T001,talknshop,electronics,I005,5,0,ebay,640.00,25,8,0.72,0.80
T003,talknshop,home_appliances,I011,1,1,walmart,249.99,0,3,0.93,0.91
T003,talknshop,home_appliances,I012,2,1,amazon,259.99,0,2,0.95,0.96
T003,talknshop,home_appliances,I013,3,1,bestbuy,269.99,0,2,0.94,0.95
T003,talknshop,home_appliances,I014,4,0,ebay,199.99,30,9,0.68,0.79
T003,talknshop,home_appliances,I015,5,0,walmart,289.99,0,4,0.87,0.89
T005,talknshop,electronics,I021,1,1,amazon,1149.00,0,2,0.96,0.98
T005,talknshop,electronics,I022,2,1,bestbuy,1179.00,0,2,0.95,0.97
T005,talknshop,electronics,I023,3,1,ebay,1099.00,25,7,0.84,0.90
T005,talknshop,electronics,I024,4,0,walmart,1299.00,0,3,0.90,0.92
T005,talknshop,electronics,I025,5,0,ebay,999.00,40,10,0.70,0.76
T002,traditional,electronics,I006,1,1,amazon,729.99,0,2,0.95,0.98
T002,traditional,electronics,I007,2,0,walmart,799.99,0,4,0.85,0.90
T002,traditional,electronics,I008,3,1,ebay,689.99,20,7,0.80,0.88
T002,traditional,electronics,I009,4,0,bestbuy,759.99,0,3,0.90,0.94
T002,traditional,electronics,I010,5,1,amazon,719.99,0,2,0.93,0.96
T014,traditional,home_appliances,I016,1,1,walmart,279.99,0,4,0.89,0.88
T014,traditional,home_appliances,I017,2,0,ebay,210.00,35,10,0.66,0.77
T014,traditional,home_appliances,I018,3,1,amazon,269.99,0,2,0.94,0.95
T014,traditional,home_appliances,I019,4,0,bestbuy,309.99,0,2,0.91,0.93
T014,traditional,home_appliances,I020,5,1,walmart,289.99,0,3,0.90,0.89
T015,traditional,electronics,I026,1,1,amazon,1249.00,0,2,0.95,0.97
T015,traditional,electronics,I027,2,0,walmart,1399.00,0,4,0.88,0.91
T015,traditional,electronics,I028,3,1,ebay,1189.00,30,8,0.82,0.87
T015,traditional,electronics,I029,4,0,bestbuy,1329.00,0,2,0.92,0.94
T015,traditional,electronics,I030,5,1,amazon,1279.00,0,2,0.93,0.96
